,0,1,2,3,4,5,6,7,8,9
0,0.0,-0.75,-1.5,-1.5,-1.5,-1.5,-0.75,-0.75,-1.5,-1.5
1,-1.5,0.0,-0.75,-1.5,-1.5,-0.75,-1.5,-1.5,-1.5,-0.75
2,-1.5,-0.75,0.0,-0.75,-0.75,-1.5,-0.75,-0.75,-1.5,-0.75
3,-1.5,-1.5,-0.75,0.0,-0.75,-0.75,-0.75,-0.75,-1.5,-0.75
4,-1.5,-1.5,-0.75,-0.75,0.0,-1.5,-1.5,-1.5,-0.75,-1.5
5,-1.5,-1.5,-0.75,-0.75,-1.5,0.0,-0.75,-0.75,-0.75,-0.75
6,-1.5,-1.5,-0.75,-0.75,-1.5,-1.5,0.0,-1.5,-1.5,-1.5
7,-0.75,-1.5,-0.75,-0.75,-1.5,-0.75,-0.75,0.0,-0.75,-0.75
8,-1.5,-0.75,-1.5,-1.5,-0.75,-1.5,-1.5,-1.5,0.0,-0.75
9,-0.75,-0.75,-1.5,-1.5,-1.5,-1.5,-0.75,-0.75,-1.5,0.0
